"","contest","candidate_count","year","contested","choice","party","district"
"104","NC STATE HOUSE DISTRICT 069",2,2006,"Yes","Jim H. Bention, Sr.","REP","069"
"105","NC STATE HOUSE DISTRICT 069",2,2006,"Yes","Pryor Gibson","DEM","069"
"106","NC STATE HOUSE DISTRICT 070",2,2006,"Yes","Pat B. Hurley","REP","070"
"107","NC STATE HOUSE DISTRICT 070",2,2006,"Yes","Hampton (Happy) Spivey","DEM","070"
"108","NC STATE HOUSE DISTRICT 071",1,2006,"No","Larry Womble","DEM","071"
"109","NC STATE HOUSE DISTRICT 072",1,2006,"No","Earline W. Parmon","DEM","072"
"110","NC STATE HOUSE DISTRICT 073",1,2006,"No","Larry R. Brown","REP","073"
"111","NC STATE HOUSE DISTRICT 074",1,2006,"No","Dale Robbins Folwell","REP","074"
"112","NC STATE HOUSE DISTRICT 075",1,2006,"No","William C. (Bill) McGee","REP","075"
"113","NC STATE HOUSE DISTRICT 076",1,2006,"No","Fred F. Steen, II","REP","076"
"114","NC STATE HOUSE DISTRICT 077",2,2006,"Yes","Susan Morris","REP","077"
"115","NC STATE HOUSE DISTRICT 077",2,2006,"Yes","Lorene T. Coates","DEM","077"
"116","NC STATE HOUSE DISTRICT 078",1,2006,"No","Harold J. Brubaker","REP","078"
"117","NC STATE HOUSE DISTRICT 079",1,2006,"No","Julia Craven Howard","REP","079"
"118","NC STATE HOUSE DISTRICT 080",1,2006,"No","Jerry C. Dockham","REP","080"
"119","NC STATE HOUSE DISTRICT 081",1,2006,"No","L. Hugh Holliman","DEM","081"
"120","NC STATE HOUSE DISTRICT 082",1,2006,"No","Jeff Barnhart","REP","082"
"121","NC STATE HOUSE DISTRICT 083",1,2006,"No","Linda P. Johnson","REP","083"
"122","NC STATE HOUSE DISTRICT 084",1,2006,"No","Phillip Frye","REP","084"
"123","NC STATE HOUSE DISTRICT 085",2,2006,"Yes","Mitch Gillespie","REP","085"
"124","NC STATE HOUSE DISTRICT 085",2,2006,"Yes","Chuck Aldridge","DEM","085"
"125","NC STATE HOUSE DISTRICT 086",2,2006,"Yes","Walt Church","DEM","086"
"126","NC STATE HOUSE DISTRICT 086",2,2006,"Yes","Hugh Blackwell","REP","086"
"127","NC STATE HOUSE DISTRICT 087",1,2006,"No","Edgar V. Starnes","REP","087"
"128","NC STATE HOUSE DISTRICT 088",2,2006,"Yes","Ray Warren","DEM","088"
"129","NC STATE HOUSE DISTRICT 088",2,2006,"Yes","Mark W. Hollo","REP","088"
"130","NC STATE HOUSE DISTRICT 089",1,2006,"No","Mitchell Smith Setzer","REP","089"
"131","NC STATE HOUSE DISTRICT 090",2,2006,"Yes","James Harrell","DEM","090"
"132","NC STATE HOUSE DISTRICT 090",2,2006,"Yes","Jack Conaway","REP","090"
"133","NC STATE HOUSE DISTRICT 091",2,2006,"Yes","Bryan Holloway","REP","091"
"134","NC STATE HOUSE DISTRICT 091",2,2006,"Yes","Ed Gambill","DEM","091"
"135","NC STATE HOUSE DISTRICT 092",1,2006,"No","George Holmes","REP","092"
"136","NC STATE HOUSE DISTRICT 093",2,2006,"Yes","Cullie Tarleton","DEM","093"
"137","NC STATE HOUSE DISTRICT 093",2,2006,"Yes","Gene Wilson","REP","093"
"138","NC STATE HOUSE DISTRICT 094",2,2006,"Yes","Judith Barlow Porter","DEM","094"
"139","NC STATE HOUSE DISTRICT 094",2,2006,"Yes","R. Tracy Walker","REP","094"
"140","NC STATE HOUSE DISTRICT 095",1,2006,"No","Karen Ray","REP","095"
"141","NC STATE HOUSE DISTRICT 096",1,2006,"No","Mark K. Hilton","REP","096"
"142","NC STATE HOUSE DISTRICT 097",1,2006,"No","Joe L. Kiser","REP","097"
"143","NC STATE HOUSE DISTRICT 098",1,2006,"No","Thom Tillis","REP","098"
"144","NC STATE HOUSE DISTRICT 099",1,2006,"No","Drew P. Saunders","DEM","099"
"145","NC STATE HOUSE DISTRICT 100",2,2006,"Yes","James B. (Jim) Black","DEM","100"
"146","NC STATE HOUSE DISTRICT 100",2,2006,"Yes","Hal Jordan","REP","100"
"147","NC STATE HOUSE DISTRICT 101",1,2006,"No","Beverly Miller Earle","DEM","101"
"148","NC STATE HOUSE DISTRICT 102",1,2006,"No","Becky Carney","DEM","102"
"149","NC STATE HOUSE DISTRICT 103",2,2006,"Yes","Everette A. Passaly","DEM","103"
"150","NC STATE HOUSE DISTRICT 103",2,2006,"Yes","Jim Gulley","REP","103"
"151","NC STATE HOUSE DISTRICT 104",2,2006,"Yes","Ruth Samuelson","REP","104"
"152","NC STATE HOUSE DISTRICT 104",2,2006,"Yes","Paula McSwain","DEM","104"
"153","NC STATE HOUSE DISTRICT 105",1,2006,"No","Ric Killian","REP","105"
"154","NC STATE HOUSE DISTRICT 106",1,2006,"No","Martha Alexander","DEM","106"
"155","NC STATE HOUSE DISTRICT 107",1,2006,"No","W. Pete Cunningham","DEM","107"
"156","NC STATE HOUSE DISTRICT 108",2,2006,"Yes","Marvin E. (Eddie) Wyatt, Jr.","DEM","108"
"157","NC STATE HOUSE DISTRICT 108",2,2006,"Yes","Wil Neumann","REP","108"
"158","NC STATE HOUSE DISTRICT 109",1,2006,"No","William A. Current","REP","109"
"159","NC STATE HOUSE DISTRICT 110",2,2006,"Yes","Debbie Ann Clary","REP","110"
"160","NC STATE HOUSE DISTRICT 110",2,2006,"Yes","Jim Long","DEM","110"
"161","NC STATE HOUSE DISTRICT 111",2,2006,"Yes","Tim Moore","REP","111"
"162","NC STATE HOUSE DISTRICT 111",2,2006,"Yes","Betsy H. Fonvielle","DEM","111"
"163","NC STATE HOUSE DISTRICT 112",2,2006,"Yes","Bob England","DEM","112"
"164","NC STATE HOUSE DISTRICT 112",2,2006,"Yes","David L. Reno","REP","112"
"165","NC STATE HOUSE DISTRICT 113",1,2006,"No","Trudi Walend","REP","113"
"166","NC STATE HOUSE DISTRICT 114",2,2006,"Yes","Susan C. Fisher","DEM","114"
"167","NC STATE HOUSE DISTRICT 114",2,2006,"Yes","Mike Harrison","REP","114"
"168","NC STATE HOUSE DISTRICT 115",2,2006,"Yes","D. Bruce Goforth","DEM","115"
"169","NC STATE HOUSE DISTRICT 115",2,2006,"Yes","Eric Gorny","REP","115"
"170","NC STATE HOUSE DISTRICT 116",2,2006,"Yes","Doug Jones","DEM","116"
"171","NC STATE HOUSE DISTRICT 116",2,2006,"Yes","Charles C. Thomas","REP","116"
"172","NC STATE HOUSE DISTRICT 117",2,2006,"Yes","Carolyn K. Justus","REP","117"
"173","NC STATE HOUSE DISTRICT 117",2,2006,"Yes","Gordon Hoots","DEM","117"
"174","NC STATE HOUSE DISTRICT 118",2,2006,"Yes","Ray Rapp","DEM","118"
"175","NC STATE HOUSE DISTRICT 118",2,2006,"Yes","Chris Gowan","REP","118"
"176","NC STATE HOUSE DISTRICT 119",2,2006,"Yes","Marge Carpenter","REP","119"
"177","NC STATE HOUSE DISTRICT 119",2,2006,"Yes","Phil Haire","DEM","119"
"178","NC STATE HOUSE DISTRICT 120",1,2006,"No","Roger West","REP","120"
