"","X","contest","candidate_count","year","contested","choice","party","district"
"180",180,"HOUSE DISTRICT 81",2,2000,"Yes","Hector H. Henry II","DEM",11111111111
"181",181,"HOUSE DISTRICT 81",2,2000,"Yes","Jeff Barnhart","REP",11111111111
"182",182,"HOUSE DISTRICT 82",1,2000,"No","Bobby Barbee, Sr.","REP",11111111111
"183",183,"HOUSE DISTRICT 83",1,2000,"No","Eugene McCombs","REP",11111111111
"184",184,"HOUSE DISTRICT 84",2,2000,"Yes","Joseph M. Coltrane, Jr.","DEM",11111111111
"185",185,"HOUSE DISTRICT 84",2,2000,"Yes","Michael (Mike) Decker","REP",11111111111
"186",186,"HOUSE DISTRICT 85",1,2000,"No","Ronnie Sutton","DEM",11111111111
"187",187,"HOUSE DISTRICT 86",2,2000,"Yes","Cheryl Byrd","REP",11111111111
"188",188,"HOUSE DISTRICT 86",2,2000,"Yes","Bill Culpepper","DEM",11111111111
"189",189,"HOUSE DISTRICT 87",1,2000,"No","Donald A. Bonner","DEM",11111111111
"190",190,"HOUSE DISTRICT 88",1,2000,"No","Theresa Esposito","REP",11111111111
"191",191,"HOUSE DISTRICT 89",5,2000,"Yes","Mary Jarrell","DEM",11111111111
"192",192,"HOUSE DISTRICT 89",5,2000,"Yes","Tom Bailey","LIB",11111111111
"193",193,"HOUSE DISTRICT 89",5,2000,"Yes","Dottie Salerno","REP",11111111111
"194",194,"HOUSE DISTRICT 89",5,2000,"Yes","Maggie Jeffus","DEM",11111111111
"195",195,"HOUSE DISTRICT 89",5,2000,"Yes","Joanne  Sharpe","REP",11111111111
"196",196,"HOUSE DISTRICT 90",2,2000,"Yes","Linda P. Johnson","REP",11111111111
"197",197,"HOUSE DISTRICT 90",2,2000,"Yes","Leonard B. Sossamon, Jr.","DEM",11111111111
"198",198,"HOUSE DISTRICT 91",2,2000,"Yes","Joe Young","LIB",11111111111
"199",199,"HOUSE DISTRICT 91",2,2000,"Yes","Edgar V. Starnes","REP",11111111111
"200",200,"HOUSE DISTRICT 92",2,2000,"Yes","James R. (Russell) Capps","REP",11111111111
"201",201,"HOUSE DISTRICT 92",2,2000,"Yes","Dorothy G. Bowles","DEM",11111111111
"202",202,"HOUSE DISTRICT 93",2,2000,"Yes","John Melvin Rayfield","REP",11111111111
"203",203,"HOUSE DISTRICT 93",2,2000,"Yes","Thomas Bishko","LIB",11111111111
"204",204,"HOUSE DISTRICT 94",2,2000,"Yes","Jerry C. Dockham","REP",11111111111
"205",205,"HOUSE DISTRICT 94",2,2000,"Yes","Ken Younts","LIB",11111111111
"206",206,"HOUSE DISTRICT 95",2,2000,"Yes","Leo Daughtry","REP",11111111111
"207",207,"HOUSE DISTRICT 95",2,2000,"Yes","Jim Johnson","DEM",11111111111
"208",208,"HOUSE DISTRICT 96",2,2000,"Yes","Edd Nye","DEM",11111111111
"209",209,"HOUSE DISTRICT 96",2,2000,"Yes","Al Freimark","REP",11111111111
"210",210,"HOUSE DISTRICT 97",2,2000,"Yes","Larry M. Bell","DEM",11111111111
"211",211,"HOUSE DISTRICT 97",2,2000,"Yes","John Sherman Best","REP",11111111111
"212",212,"HOUSE DISTRICT 98",1,2000,"No","Thomas E. Wright","DEM",11111111111
"213",1,"NC HOUSE (1)",1,2002,"No","W. C. (Bill) Owens, Jr.","DEM",1
"214",2,"NC HOUSE (10)",2,2002,"Yes","Russell E. Tucker","DEM",10
"215",3,"NC HOUSE (10)",2,2002,"Yes","Stephen LaRoque","REP",10
"216",4,"NC HOUSE (100)",2,2002,"Yes","James B. (Jim) Black","DEM",100
"217",5,"NC HOUSE (100)",2,2002,"Yes","Nick Cicali","REP",100
"218",6,"NC HOUSE (101)",1,2002,"No","Beverly M. Earle","DEM",101
"219",7,"NC HOUSE (102)",2,2002,"Yes","Daniel Elmaleh","LIB",102
"220",8,"NC HOUSE (102)",2,2002,"Yes","Becky Carney","DEM",102
"221",9,"NC HOUSE (103)",2,2002,"Yes","Andy Grum","LIB",103
"222",10,"NC HOUSE (103)",2,2002,"Yes","Jim Gulley","REP",103
"223",11,"NC HOUSE (104)",2,2002,"Yes","Ryan Murphy","LIB",104
"224",12,"NC HOUSE (104)",2,2002,"Yes","Connie Wilson","REP",104
"225",13,"NC HOUSE (105)",2,2002,"Yes","Ed McMahan","REP",105
"226",14,"NC HOUSE (105)",2,2002,"Yes","Sean Johnson","LIB",105
"227",15,"NC HOUSE (106)",1,2002,"No","Martha Alexander","DEM",106
"228",16,"NC HOUSE (107)",1,2002,"No","W. Pete Cunningham","DEM",107
"229",17,"NC HOUSE (108)",2,2002,"Yes","John Melvin Rayfield","REP",108
"230",18,"NC HOUSE (108)",2,2002,"Yes","John Covington","LIB",108
"231",19,"NC HOUSE (109)",3,2002,"Yes","Patrick McHenry","REP",109
"232",20,"NC HOUSE (109)",3,2002,"Yes","David Secrist","LIB",109
"233",21,"NC HOUSE (109)",3,2002,"Yes","John Eaker","DEM",109
"234",22,"NC HOUSE (11)",2,2002,"Yes","Phil Baddour","DEM",11
"235",23,"NC HOUSE (11)",2,2002,"Yes","Louis M. Pate, Jr.","REP",11
"236",24,"NC HOUSE (110)",1,2002,"No","Debbie A. Clary","REP",110
"237",25,"NC HOUSE (111)",2,2002,"Yes","Andy Dedmon","DEM",111
"238",26,"NC HOUSE (111)",2,2002,"Yes","Tim Moore","REP",111
"239",27,"NC HOUSE (112)",3,2002,"Yes","David Rogers","REP",112
"240",28,"NC HOUSE (112)",3,2002,"Yes","Ralph Haulk","LIB",112
"241",29,"NC HOUSE (112)",3,2002,"Yes","Bob England","DEM",112
"242",30,"NC HOUSE (113)",2,2002,"Yes","Trudi Walend","REP",113
"243",31,"NC HOUSE (113)",2,2002,"Yes","Jean Marlowe","LIB",113
"244",32,"NC HOUSE (114)",3,2002,"Yes","Clarence Young","LIB",114
"245",33,"NC HOUSE (114)",3,2002,"Yes","Martin L. Nesbitt","DEM",114
"246",34,"NC HOUSE (114)",3,2002,"Yes","Bill Porter","REP",114
"247",35,"NC HOUSE (115)",3,2002,"Yes","D. Bruce Goforth","DEM",115
"248",36,"NC HOUSE (115)",3,2002,"Yes","Robert Parker","LIB",115
"249",37,"NC HOUSE (115)",3,2002,"Yes","Mark Crawford","REP",115
"250",38,"NC HOUSE (116)",1,2002,"No","Wilma M. Sherrill","REP",116
"251",39,"NC HOUSE (117)",2,2002,"Yes","Brian Barber","LIB",117
"252",40,"NC HOUSE (117)",2,2002,"Yes","Larry T. Justus","REP",117
"253",41,"NC HOUSE (118)",3,2002,"Yes","Margaret (Marge) Carpenter","REP",118
"254",42,"NC HOUSE (118)",3,2002,"Yes","Ray Rapp","DEM",118
"255",43,"NC HOUSE (118)",3,2002,"Yes","Barry Williams","LIB",118
"256",44,"NC HOUSE (119)",2,2002,"Yes","Phil Haire","DEM",119
"257",45,"NC HOUSE (119)",2,2002,"Yes","Kaye Matthews","REP",119
"258",46,"NC HOUSE (12)",2,2002,"Yes","William L. Wainwright","DEM",12
"259",47,"NC HOUSE (12)",2,2002,"Yes","Alan Christopher Stimson","LIB",12
"260",48,"NC HOUSE (120)",1,2002,"No","Roger West","REP",120
"261",49,"NC HOUSE (13)",2,2002,"Yes","Ronald L. (Ronnie) Smith","DEM",13
"262",50,"NC HOUSE (13)",2,2002,"Yes","Jean R. Preston","REP",13
"263",51,"NC HOUSE (14)",3,2002,"Yes","Keith P. Williams","REP",14
"264",52,"NC HOUSE (14)",3,2002,"Yes","Dolores Jones Faison","DEM",14
"265",53,"NC HOUSE (14)",3,2002,"Yes","Cap Hayes","LIB",14
"266",54,"NC HOUSE (15)",2,2002,"Yes","Robert Grady","REP",15
"267",55,"NC HOUSE (15)",2,2002,"Yes","Jerome Willingham","DEM",15
"268",56,"NC HOUSE (16)",3,2002,"Yes","Jack C. Barnes","DEM",16
"269",57,"NC HOUSE (16)",3,2002,"Yes","Carolyn H. Justice","REP",16
"270",58,"NC HOUSE (16)",3,2002,"Yes","Robert J. Smith","LIB",16
"271",59,"NC HOUSE (17)",3,2002,"Yes","Bonner Stiller","REP",17
"272",60,"NC HOUSE (17)",3,2002,"Yes","E. David Redwine","DEM",17
"273",61,"NC HOUSE (17)",3,2002,"Yes","Robert Kerr","LIB",17
"274",62,"NC HOUSE (18)",3,2002,"Yes","Stephen Shepherd","LIB",18
"275",63,"NC HOUSE (18)",3,2002,"Yes","Thomas E. Wright","DEM",18
"276",64,"NC HOUSE (18)",3,2002,"Yes","Jack White","REP",18
"277",65,"NC HOUSE (19)",2,2002,"Yes","Ty Jacobus","LIB",19
"278",66,"NC HOUSE (19)",2,2002,"Yes","Danny McComas","REP",19
"279",67,"NC HOUSE (2)",2,2002,"Yes","Bill Culpepper","DEM",2
"280",68,"NC HOUSE (2)",2,2002,"Yes","Daniel M. Beall","REP",2
"281",69,"NC HOUSE (20)",2,2002,"Yes","Dewey L. Hill","DEM",20
"282",70,"NC HOUSE (20)",2,2002,"Yes","Richard Hollembeak","LIB",20
"283",71,"NC HOUSE (21)",1,2002,"No","Larry M. Bell","DEM",21
"284",72,"NC HOUSE (22)",2,2002,"Yes","Joy Barbour","REP",22
"285",73,"NC HOUSE (22)",2,2002,"Yes","Edd Nye","DEM",22
"286",74,"NC HOUSE (23)",3,2002,"Yes","Douglas Ellis","LIB",23
"287",75,"NC HOUSE (23)",3,2002,"Yes","Joe Tolson","DEM",23
"288",76,"NC HOUSE (23)",3,2002,"Yes","Bettie West","REP",23
"289",77,"NC HOUSE (24)",1,2002,"No","Jean Farmer Butterfield","DEM",24
"290",78,"NC HOUSE (25)",2,2002,"Yes","Mary Alice Wells","DEM",25
"291",79,"NC HOUSE (25)",2,2002,"Yes","Bill Daughtridge","REP",25
"292",80,"NC HOUSE (26)",1,2002,"No","Billy Creech","REP",26
"293",81,"NC HOUSE (27)",1,2002,"No","Stan Fox","DEM",27
"294",82,"NC HOUSE (28)",1,2002,"No","Leo Daughtry","REP",28
"295",83,"NC HOUSE (29)",1,2002,"No","Paul Miller","DEM",29
"296",84,"NC HOUSE (3)",2,2002,"Yes","Michael A. Gorman","REP",3
"297",85,"NC HOUSE (3)",2,2002,"Yes","Alice Graham Underhill","DEM",3
"298",86,"NC HOUSE (30)",2,2002,"Yes","Terry Mancour","LIB",30
"299",87,"NC HOUSE (30)",2,2002,"Yes","Paul Luebke","DEM",30
"300",88,"NC HOUSE (31)",2,2002,"Yes","Rachel Mills","LIB",31
"301",89,"NC HOUSE (31)",2,2002,"Yes","H. M. (Mickey) Michaux, Jr.","DEM",31
"302",90,"NC HOUSE (32)",3,2002,"Yes","Barbara Howe","LIB",32
"303",91,"NC HOUSE (32)",3,2002,"Yes","Sallie Edwards-Pickett","REP",32
